horizon,anchor_mode,level,method,coverage,coverage_error,pinball_loss,average_upper_bound,objective,fallback_rate,selected
1,historical_peak,0.9,volatility_stratified,0.9020833333333333,0.002083333333333326,0.002045099751040136,0.19749780983413726,0.006103411182714834,0.0,False
1,historical_peak,0.9,regime_stratified,0.90625,0.006249999999999978,0.0020488747717236507,0.19814599499766125,0.010280334721700242,0.1625,False
1,historical_peak,0.9,current_drawdown_regime,0.9145833333333333,0.014583333333333282,0.002123540685777246,0.19903218002047693,0.0186971958193153,0.16875,False
1,historical_peak,0.9,volatility_regime,0.9208333333333333,0.02083333333333326,0.0021024214292154056,0.19868570407938868,0.024922611803342553,0.1625,False
1,historical_peak,0.95,global,0.9354166666666667,-0.014583333333333282,0.0013931831406285488,0.20191685935369438,0.017995685067498775,0.0,False
1,historical_peak,0.95,current_drawdown_stratified,0.9375,-0.012499999999999956,0.0014444015476128612,0.20345413398900222,0.015978942887502838,0.0,False
1,historical_peak,0.95,volatility_stratified,0.9416666666666667,-0.008333333333333304,0.0014026020144891668,0.20221447607846776,0.011758080108607148,0.0,False
1,historical_peak,0.95,regime_stratified,0.95,0.0,0.0013861042191697015,0.20401340408520638,0.0034262382600217653,0.1625,True
1,historical_peak,0.95,current_drawdown_regime,0.9333333333333333,-0.016666666666666607,0.0014563688500457113,0.20287139092956039,0.02015174942600792,0.16875,False
1,historical_peak,0.95,volatility_regime,0.95,0.0,0.0014040787453580169,0.20440559402834318,0.0034481346856414484,0.1625,False
1,historical_peak,0.99,global,0.9770833333333333,-0.012916666666666687,0.00048506581184884,0.21344425870114173,0.015536175065526944,0.0,False
1,historical_peak,0.99,current_drawdown_stratified,0.9791666666666666,-0.010833333333333361,0.0004822126319050957,0.22150440008180475,0.013530589966056505,0.0,False
1,historical_peak,0.99,volatility_stratified,0.98125,-0.008750000000000036,0.00046198748621874546,0.21522301080366277,0.01136421759425541,0.0,False
1,historical_peak,0.99,regime_stratified,0.98125,-0.008750000000000036,0.0004470584582838529,0.215980220422877,0.011356860662512657,0.1625,False
1,historical_peak,0.99,current_drawdown_regime,0.9854166666666667,-0.004583333333333273,0.00045773527618354237,0.2218129810064408,0.007259198419581223,0.16875,False
1,historical_peak,0.99,volatility_regime,0.9895833333333334,-0.0004166666666666208,0.0004392548919731899,0.21839072449781619,0.0030398288036179726,0.1625,True
5,origin_peak,0.8,global,0.7807933194154488,-0.019206680584551217,0.00719470596101204,0.028317360753859423,0.02668456015310185,0.0,False
5,origin_peak,0.8,current_drawdown_stratified,0.8162839248434238,0.01628392484342378,0.0073601943953092745,0.03272302245818608,0.023971349463314917,0.0,False
5,origin_peak,0.8,volatility_stratified,0.7849686847599165,-0.015031315240083498,0.007201179402415703,0.028574997743860794,0.02251824461993781,0.0,False
5,origin_peak,0.8,regime_stratified,0.8288100208768268,0.028810020876826714,0.007165586263219381,0.03237453731232236,0.03629935251316932,0.162839248434238,False
5,origin_peak,0.8,current_drawdown_regime,0.7974947807933194,-0.0025052192066806755,0.007417497036024449,0.031325475481730126,0.010235970997522426,0.16910229645093947,True
5,origin_peak,0.8,volatility_regime,0.826722338204593,0.02672233820459291,0.007309627799169926,0.03314426493738932,0.03436340865313673,0.162839248434238,False
5,origin_peak,0.9,global,0.8580375782881002,-0.04196242171189979,0.005347840420074697,0.040398011803521386,0.0477142422500097,0.0,False
5,origin_peak,0.9,current_drawdown_stratified,0.9018789144050104,0.0018789144050104234,0.005629424874154266,0.04481640697588362,0.007956503348923526,0.0,False
5,origin_peak,0.9,volatility_stratified,0.8580375782881002,-0.04196242171189979,0.005375498704904349,0.041014941530147266,0.04774806983210561,0.0,False
5,origin_peak,0.9,regime_stratified,0.8872651356993737,-0.012734864300626314,0.00519834947874443,0.04418920638502416,0.018375105843220985,0.162839248434238,False
5,origin_peak,0.9,current_drawdown_regime,0.8997912317327766,-0.00020876826722338038,0.005634438234055199,0.04439986810211789,0.006287205182299758,0.16910229645093947,True
5,origin_peak,0.9,volatility_regime,0.8956158663883089,-0.004384133611691099,0.005289523003437032,0.045454187601587905,0.01012819849114401,0.162839248434238,False
5,origin_peak,0.95,global,0.9164926931106472,-0.03350730688935277,0.0036496083065177837,0.0508612796873863,0.03766552799274442,0.0,False
5,origin_peak,0.95,current_drawdown_stratified,0.918580375782881,-0.03141962421711897,0.003944401378363596,0.05365864066671951,0.035900612002149765,0.0,False
5,origin_peak,0.95,volatility_stratified,0.9081419624217119,-0.0418580375782881,0.003702884810697914,0.05135400978958577,0.04607446248688187,0.0,False
