horizon,anchor_mode,level,stratum_type,stratum,observations,conditional_coverage,coverage_error
40,historical_peak,0.9,current_drawdown_bin,0,755,0.847682119205298,-0.05231788079470201
40,historical_peak,0.9,current_drawdown_bin,1,382,0.9345549738219895,0.034554973821989465
40,historical_peak,0.9,current_drawdown_bin,2,25,0.84,-0.06000000000000005
40,historical_peak,0.95,regime,0,100,0.93,-0.019999999999999907
40,historical_peak,0.95,regime,3,1013,0.945705824284304,-0.004294175715695903
40,historical_peak,0.95,regime,4,49,1.0,0.050000000000000044
40,historical_peak,0.95,volatility_bin,0,257,0.8715953307392996,-0.07840466926070033
40,historical_peak,0.95,volatility_bin,1,311,0.9389067524115756,-0.011093247588424338
40,historical_peak,0.95,volatility_bin,2,594,0.9831649831649831,0.033164983164983175
40,historical_peak,0.95,current_drawdown_bin,0,755,0.9218543046357616,-0.028145695364238388
40,historical_peak,0.95,current_drawdown_bin,1,382,0.9947643979057592,0.04476439790575926
40,historical_peak,0.95,current_drawdown_bin,2,25,0.96,0.010000000000000009
40,historical_peak,0.99,regime,0,100,1.0,0.010000000000000009
40,historical_peak,0.99,regime,3,1013,1.0,0.010000000000000009
40,historical_peak,0.99,regime,4,49,1.0,0.010000000000000009
40,historical_peak,0.99,volatility_bin,0,257,1.0,0.010000000000000009
40,historical_peak,0.99,volatility_bin,1,311,1.0,0.010000000000000009
40,historical_peak,0.99,volatility_bin,2,594,1.0,0.010000000000000009
40,historical_peak,0.99,current_drawdown_bin,0,755,1.0,0.010000000000000009
40,historical_peak,0.99,current_drawdown_bin,1,382,1.0,0.010000000000000009
40,historical_peak,0.99,current_drawdown_bin,2,25,1.0,0.010000000000000009
40,origin_peak,0.8,regime,0,100,1.0,0.19999999999999996
40,origin_peak,0.8,regime,3,1013,0.8183613030602171,0.018361303060217105
40,origin_peak,0.8,regime,4,49,1.0,0.19999999999999996
40,origin_peak,0.8,volatility_bin,0,257,0.7898832684824902,-0.010116731517509803
40,origin_peak,0.8,volatility_bin,1,311,0.8070739549839229,0.0070739549839228255
40,origin_peak,0.8,volatility_bin,2,594,0.8821548821548821,0.08215488215488209
40,origin_peak,0.8,current_drawdown_bin,0,755,0.8079470198675497,0.007947019867549643
40,origin_peak,0.8,current_drawdown_bin,1,382,0.8979057591623036,0.0979057591623036
40,origin_peak,0.8,current_drawdown_bin,2,25,1.0,0.19999999999999996
40,origin_peak,0.9,regime,0,100,0.85,-0.050000000000000044
40,origin_peak,0.9,regime,3,1013,0.8993089832181639,-0.0006910167818361401
40,origin_peak,0.9,regime,4,49,0.9387755102040817,0.038775510204081653
40,origin_peak,0.9,volatility_bin,0,257,0.8054474708171206,-0.09455252918287937
40,origin_peak,0.9,volatility_bin,1,311,0.8842443729903537,-0.015755627009646278
40,origin_peak,0.9,volatility_bin,2,594,0.9427609427609428,0.04276094276094278
40,origin_peak,0.9,current_drawdown_bin,0,755,0.8675496688741722,-0.03245033112582785
40,origin_peak,0.9,current_drawdown_bin,1,382,0.9633507853403142,0.06335078534031413
40,origin_peak,0.9,current_drawdown_bin,2,25,0.76,-0.14
40,origin_peak,0.95,regime,0,100,0.96,0.010000000000000009
40,origin_peak,0.95,regime,3,1013,0.9358341559723593,-0.01416584402764065
40,origin_peak,0.95,regime,4,49,0.9795918367346939,0.0295918367346939
40,origin_peak,0.95,volatility_bin,0,257,0.8404669260700389,-0.10953307392996103
40,origin_peak,0.95,volatility_bin,1,311,0.932475884244373,-0.017524115755626957
40,origin_peak,0.95,volatility_bin,2,594,0.9865319865319865,0.03653198653198653
40,origin_peak,0.95,current_drawdown_bin,0,755,0.9112582781456954,-0.03874172185430458
